"1","Aklasaur Steak","5","both","Bar","BU","0",,
"2","Bag of Assorted Berries","1","both","Bar","MFxPAxBU","0",,
"3","Bag of Smoked Insects","1","both","Bar","MFxPA","0",,
"4","Barbuga Fillet","3","both","Bar","BU","0",,
"5","Broiled Sharktacle","5","both","Bar","BU","0",,
"6","Bruk Roast","9","both","Bar","BU","0",,
"7","Dried Salamander","1","both","Bar","MFxPA","0",,
"8","Fire Ant Ale","3","both","Bar","BU","0",,
"9","Giant Crab Leg","31","both","Bar","MFxPA","0",,
"10","Giant Mole Burger","3","both","Bar","MFxPA","0",,
"11","Giant Rat Milk","1","both","Bar","PA","0",,
"12","Giant Rat Steak","3","both","Bar","PA","0",,
"13","Glass Bottle of Wine","2","both","Bar","MFxPAxBU","0",,
"14","Honey","2","both","Bar","BU","0",,
"15","Jar of Giant Killer Bee Honey","1","both","Bar","MFxPA","0",,
"16","Jar of Snake Liquor","1","both","Bar","PA","0",,
"17","Jar of Xeno Liquor","1","both","Bar","MF","0",,
"18","Large Pickled Egg","10","both","Bar","PA","0",,
"19","Leg of Giant Spider","5","both","Bar","PA","0",,
"20","Mystery Meat Kabob","1","both","Bar","MFxPA","0",,
"21","Pickled Hemofowl Egg","10","both","Bar","MF","0",,
"22","Pint of Wine","1","both","Bar","MFxPAxBU","0",,
"23","Rabboxen Milk","1","both","Bar","MF","0",,
"24","Rabboxen Steak","3","both","Bar","MF","0",,
"25","Rat on a Stick","1","both","Bar","MFxPAxBU","0",,
"26","Roasted Giant Cockroach","1","both","Bar","PA","0",,
"27","Roasted Meerkat","1","both","Bar","MF","0",,
"28","Shellox Milk","1","both","Bar","BU","0",,
"29","Spidergoat Haunch","5","both","Bar","MF","0",,
"30","Trail Ration","1","both","Bar","MFxPAxBU","0",,
"31","Unihare Stew","4","both","Bar","BU","0",,
"32","Unpreserved Ration","1","both","Bar","MFxPAxBU","0",,
"33","Waterskin","1","both","Bar","MFxPAxBU","0",,
"34","Xeno Jerky","1","both","Bar","MF","0",,
"35","Anti-Grav Trailer","500","hi","Mechanic","BU","1",,
"36","Armor Plate","5000","low","Mechanic","BU","1",,
"37","Drill","5000","hi","Mechanic","BU","1",,
"38","Folding Glider","600","low","Mechanic","BU","1",,
"39","Force Shield","4000","hi","Mechanic","BU","1",,
